,FQ1,FQ2,ID,LB,SM,PL,RUN
MMP-7028LAB_5-JU1401,MMP-7028LAB_5-JU1401-paired-1.fq.gz,MMP-7028LAB_5-JU1401-paired-2.fq.gz,MMP-7028LAB_5-JU1401,7028LAB_5,JU1409,,
MMP-B00B7AB_3-JU1401,MMP-B00B7AB_3-JU1401-paired-1.fq.gz,MMP-B00B7AB_3-JU1401-paired-2.fq.gz,MMP-B00B7AB_3-JU1401,B00B7AB_3,JU1409,,
MMP-C02D1AC_1-JU1401,MMP-C02D1AC_1-JU1401-paired-1.fq.gz,MMP-C02D1AC_1-JU1401-paired-2.fq.gz,MMP-C02D1AC_1-JU1401,C02D1AC_1,JU1409,,
MMP-D09NFAC_4-JU1401,MMP-D09NFAC_4-JU1401-paired-1.fq.gz,MMP-D09NFAC_4-JU1401-paired-2.fq.gz,MMP-D09NFAC_4-JU1401,D09NFAC_4,JU1409,,
MMP-D0A7EAC_1-JU1401,MMP-D0A7EAC_1-JU1401-paired-1.fq.gz,MMP-D0A7EAC_1-JU1401-paired-2.fq.gz,MMP-D0A7EAC_1-JU1401,D0A7EAC_1,JU1409,,
Princeton-ECA41_d0ncdac-JU1409,Princeton-ECA41_d0ncdac-JU1409-paired-1.fq.gz,Princeton-ECA41_d0ncdac-JU1409-paired-2.fq.gz,Princeton-ECA41_d0ncdac-JU1409,ECA41_d0ncdac,JU1409,,
BGI2-RET6-JU1440,BGI2-RET6-JU1440-paired-1.fq.gz,BGI2-RET6-JU1440-paired-2.fq.gz,BGI2-RET6-JU1440,RET6,JU1440,,
BGI3-RET6a-JU1440,BGI3-RET6a-JU1440-paired-1.fq.gz,BGI3-RET6a-JU1440-paired-2.fq.gz,BGI3-RET6a-JU1440,RET6a,JU1440,,
Uchicago-L001-JU1440,Uchicago-L001-JU1440-paired-1.fq.gz,Uchicago-L001-JU1440-paired-2.fq.gz,Uchicago-L001-JU1440,L001,JU1440,,
BGI1-RET3-JU1491,BGI1-RET3-JU1491-paired-1.fq.gz,BGI1-RET3-JU1491-paired-2.fq.gz,BGI1-RET3-JU1491,RET3,JU1491,,
BGI2-RET3-JU1491,BGI2-RET3-JU1491-paired-1.fq.gz,BGI2-RET3-JU1491-paired-2.fq.gz,BGI2-RET3-JU1491,RET3,JU1491,,
BGI3-RET3a-JU1491,BGI3-RET3a-JU1491-paired-1.fq.gz,BGI3-RET3a-JU1491-paired-2.fq.gz,BGI3-RET3a-JU1491,RET3a,JU1491,,
Princeton-ECA35_c099uac-JU1491,Princeton-ECA35_c099uac-JU1491-paired-1.fq.gz,Princeton-ECA35_c099uac-JU1491-paired-2.fq.gz,Princeton-ECA35_c099uac-JU1491,ECA35_c099uac,JU1491,,
Princeton-ECA35_d0mbhac-JU1491,Princeton-ECA35_d0mbhac-JU1491-paired-1.fq.gz,Princeton-ECA35_d0mbhac-JU1491-paired-2.fq.gz,Princeton-ECA35_d0mbhac-JU1491,ECA35_d0mbhac,JU1491,,
BGI1-RET7-JU1530,BGI1-RET7-JU1530-paired-1.fq.gz,BGI1-RET7-JU1530-paired-2.fq.gz,BGI1-RET7-JU1530,RET7,JU1530,,
BGI2-RET7-JU1530,BGI2-RET7-JU1530-paired-1.fq.gz,BGI2-RET7-JU1530-paired-2.fq.gz,BGI2-RET7-JU1530,RET7,JU1530,,
BGI3-RET7b-JU1530,BGI3-RET7b-JU1530-paired-1.fq.gz,BGI3-RET7b-JU1530-paired-2.fq.gz,BGI3-RET7b-JU1530,RET7b,JU1530,,
Princeton-ECA36_c099uac-JU1530,Princeton-ECA36_c099uac-JU1530-paired-1.fq.gz,Princeton-ECA36_c099uac-JU1530-paired-2.fq.gz,Princeton-ECA36_c099uac-JU1530,ECA36_c099uac,JU1530,,
Princeton-ECA36_d0mbhac-JU1530,Princeton-ECA36_d0mbhac-JU1530-paired-1.fq.gz,Princeton-ECA36_d0mbhac-JU1530-paired-2.fq.gz,Princeton-ECA36_d0mbhac-JU1530,ECA36_d0mbhac,JU1530,,
BGI1-RET5-JU1568,BGI1-RET5-JU1568-paired-1.fq.gz,BGI1-RET5-JU1568-paired-2.fq.gz,BGI1-RET5-JU1568,RET5,JU1568,,
BGI2-RET5-JU1568,BGI2-RET5-JU1568-paired-1.fq.gz,BGI2-RET5-JU1568-paired-2.fq.gz,BGI2-RET5-JU1568,RET5,JU1568,,
BGI3-RET5a-JU1568,BGI3-RET5a-JU1568-paired-1.fq.gz,BGI3-RET5a-JU1568-paired-2.fq.gz,BGI3-RET5a-JU1568,RET5a,JU1568,,
BGI1-RET1-JU1580,BGI1-RET1-JU1580-paired-1.fq.gz,BGI1-RET1-JU1580-paired-2.fq.gz,BGI1-RET1-JU1580,RET1,JU1580,,
BGI2-RET1-JU1580,BGI2-RET1-JU1580-paired-1.fq.gz,BGI2-RET1-JU1580-paired-2.fq.gz,BGI2-RET1-JU1580,RET1,JU1580,,
BGI3-RET1b-JU1580,BGI3-RET1b-JU1580-paired-1.fq.gz,BGI3-RET1b-JU1580-paired-2.fq.gz,BGI3-RET1b-JU1580,RET1b,JU1580,,
BGI1-RET6-JU1581,BGI1-RET6-JU1581-paired-1.fq.gz,BGI1-RET6-JU1581-paired-2.fq.gz,BGI1-RET6-JU1581,RET6,JU1581,,
BGI2-RET6-JU1581,BGI2-RET6-JU1581-paired-1.fq.gz,BGI2-RET6-JU1581-paired-2.fq.gz,BGI2-RET6-JU1581,RET6,JU1581,,
BGI3-RET6b-JU1581,BGI3-RET6b-JU1581-paired-1.fq.gz,BGI3-RET6b-JU1581-paired-2.fq.gz,BGI3-RET6b-JU1581,RET6b,JU1581,,
BGI1-RET4-JU1516,BGI1-RET4-JU1516-paired-1.fq.gz,BGI1-RET4-JU1516-paired-2.fq.gz,BGI1-RET4-JU1516,RET4,JU1581,,
BGI2-RET4-JU1516,BGI2-RET4-JU1516-paired-1.fq.gz,BGI2-RET4-JU1516-paired-2.fq.gz,BGI2-RET4-JU1516,RET4,JU1581,,
BGI3-RET4b-JU1516,BGI3-RET4b-JU1516-paired-1.fq.gz,BGI3-RET4b-JU1516-paired-2.fq.gz,BGI3-RET4b-JU1516,RET4b,JU1581,,
Princeton-ECA31_c02hkac-JU1516,Princeton-ECA31_c02hkac-JU1516-paired-1.fq.gz,Princeton-ECA31_c02hkac-JU1516-paired-2.fq.gz,Princeton-ECA31_c02hkac-JU1516,ECA31_c02hkac,JU1581,,
Princeton-ECA31_c03b2ab-JU1516,Princeton-ECA31_c03b2ab-JU1516-paired-1.fq.gz,Princeton-ECA31_c03b2ab-JU1516-paired-2.fq.gz,Princeton-ECA31_c03b2ab-JU1516,ECA31_c03b2ab,JU1581,,
Princeton-ECA35_c099uac-JU1581,Princeton-ECA35_c099uac-JU1581-paired-1.fq.gz,Princeton-ECA35_c099uac-JU1581-paired-2.fq.gz,Princeton-ECA35_c099uac-JU1581,ECA35_c099uac,JU1581,,
Princeton-ECA35_d0mbhac-JU1581,Princeton-ECA35_d0mbhac-JU1581-paired-1.fq.gz,Princeton-ECA35_d0mbhac-JU1581-paired-2.fq.gz,Princeton-ECA35_d0mbhac-JU1581,ECA35_d0mbhac,JU1581,,
BGI1-RET3-JU1586,BGI1-RET3-JU1586-paired-1.fq.gz,BGI1-RET3-JU1586-paired-2.fq.gz,BGI1-RET3-JU1586,RET3,JU1586,,
BGI2-RET3-JU1586,BGI2-RET3-JU1586-paired-1.fq.gz,BGI2-RET3-JU1586-paired-2.fq.gz,BGI2-RET3-JU1586,RET3,JU1586,,
BGI3-RET3a-JU1586,BGI3-RET3a-JU1586-paired-1.fq.gz,BGI3-RET3a-JU1586-paired-2.fq.gz,BGI3-RET3a-JU1586,RET3a,JU1586,,
Princeton-ECA36_c099uac-JU1586,Princeton-ECA36_c099uac-JU1586-paired-1.fq.gz,Princeton-ECA36_c099uac-JU1586-paired-2.fq.gz,Princeton-ECA36_c099uac-JU1586,ECA36_c099uac,JU1586,,
Princeton-ECA36_d0mbhac-JU1586,Princeton-ECA36_d0mbhac-JU1586-paired-1.fq.gz,Princeton-ECA36_d0mbhac-JU1586-paired-2.fq.gz,Princeton-ECA36_d0mbhac-JU1586,ECA36_d0mbhac,JU1586,,
BGI1-RET7-JU1652,BGI1-RET7-JU1652-paired-1.fq.gz,BGI1-RET7-JU1652-paired-2.fq.gz,BGI1-RET7-JU1652,RET7,JU1652,,
BGI2-RET7-JU1652,BGI2-RET7-JU1652-paired-1.fq.gz,BGI2-RET7-JU1652-paired-2.fq.gz,BGI2-RET7-JU1652,RET7,JU1652,,
BGI3-RET7b-JU1652,BGI3-RET7b-JU1652-paired-1.fq.gz,BGI3-RET7b-JU1652-paired-2.fq.gz,BGI3-RET7b-JU1652,RET7b,JU1652,,
MMP-7028LAB_5-JU1652,MMP-7028LAB_5-JU1652-paired-1.fq.gz,MMP-7028LAB_5-JU1652-paired-2.fq.gz,MMP-7028LAB_5-JU1652,7028LAB_5,JU1652,,
MMP-B00B7AB_3-JU1652,MMP-B00B7AB_3-JU1652-paired-1.fq.gz,MMP-B00B7AB_3-JU1652-paired-2.fq.gz,MMP-B00B7AB_3-JU1652,B00B7AB_3,JU1652,,
MMP-C02D1AC_1-JU1652,MMP-C02D1AC_1-JU1652-paired-1.fq.gz,MMP-C02D1AC_1-JU1652-paired-2.fq.gz,MMP-C02D1AC_1-JU1652,C02D1AC_1,JU1652,,
MMP-D09NFAC_4-JU1652,MMP-D09NFAC_4-JU1652-paired-1.fq.gz,MMP-D09NFAC_4-JU1652-paired-2.fq.gz,MMP-D09NFAC_4-JU1652,D09NFAC_4,JU1652,,
MMP-D0A7EAC_1-JU1652,MMP-D0A7EAC_1-JU1652-paired-1.fq.gz,MMP-D0A7EAC_1-JU1652-paired-2.fq.gz,MMP-D0A7EAC_1-JU1652,D0A7EAC_1,JU1652,,
BGI1-RET4-JU1896,BGI1-RET4-JU1896-paired-1.fq.gz,BGI1-RET4-JU1896-paired-2.fq.gz,BGI1-RET4-JU1896,RET4,JU1896,,
BGI2-RET4-JU1896,BGI2-RET4-JU1896-paired-1.fq.gz,BGI2-RET4-JU1896-paired-2.fq.gz,BGI2-RET4-JU1896,RET4,JU1896,,
BGI3-RET4a-JU1896,BGI3-RET4a-JU1896-paired-1.fq.gz,BGI3-RET4a-JU1896-paired-2.fq.gz,BGI3-RET4a-JU1896,RET4a,JU1896,,
BGI2-RET6-JU2001,BGI2-RET6-JU2001-paired-1.fq.gz,BGI2-RET6-JU2001-paired-2.fq.gz,BGI2-RET6-JU2001,RET6,JU2001,,
BGI3-RET6b-JU2001,BGI3-RET6b-JU2001-paired-1.fq.gz,BGI3-RET6b-JU2001-paired-2.fq.gz,BGI3-RET6b-JU2001,RET6b,JU2001,,
Princeton-ECA30_c02hkac-JU2001,Princeton-ECA30_c02hkac-JU2001-paired-1.fq.gz,Princeton-ECA30_c02hkac-JU2001-paired-2.fq.gz,Princeton-ECA30_c02hkac-JU2001,ECA30_c02hkac,JU2001,,
Princeton-ECA30_c03b2ab-JU2001,Princeton-ECA30_c03b2ab-JU2001-paired-1.fq.gz,Princeton-ECA30_c03b2ab-JU2001-paired-2.fq.gz,Princeton-ECA30_c03b2ab-JU2001,ECA30_c03b2ab,JU2001,,
BGI1-RET3-JU2007,BGI1-RET3-JU2007-paired-1.fq.gz,BGI1-RET3-JU2007-paired-2.fq.gz,BGI1-RET3-JU2007,RET3,JU2007,,
BGI2-RET3-JU2007,BGI2-RET3-JU2007-paired-1.fq.gz,BGI2-RET3-JU2007-paired-2.fq.gz,BGI2-RET3-JU2007,RET3,JU2007,,
BGI3-RET3b-JU2007,BGI3-RET3b-JU2007-paired-1.fq.gz,BGI3-RET3b-JU2007-paired-2.fq.gz,BGI3-RET3b-JU2007,RET3b,JU2007,,
Princeton-ECA31_c02hkac-JU2007,Princeton-ECA31_c02hkac-JU2007-paired-1.fq.gz,Princeton-ECA31_c02hkac-JU2007-paired-2.fq.gz,Princeton-ECA31_c02hkac-JU2007,ECA31_c02hkac,JU2007,,
Princeton-ECA31_c03b2ab-JU2007,Princeton-ECA31_c03b2ab-JU2007-paired-1.fq.gz,Princeton-ECA31_c03b2ab-JU2007-paired-2.fq.gz,Princeton-ECA31_c03b2ab-JU2007,ECA31_c03b2ab,JU2007,,
Uchicago-L001-JU2464,Uchicago-L001-JU2464-paired-1.fq.gz,Uchicago-L001-JU2464-paired-2.fq.gz,Uchicago-L001-JU2464,L001,JU2464,,
Uchicago-L002-JU2467,Uchicago-L002-JU2467-paired-1.fq.gz,Uchicago-L002-JU2467-paired-2.fq.gz,Uchicago-L002-JU2467,L002,JU2464,,
Uchicago-L002-JU2468,Uchicago-L002-JU2468-paired-1.fq.gz,Uchicago-L002-JU2468-paired-2.fq.gz,Uchicago-L002-JU2468,L002,JU2464,,
BGI1-RET1-JU258,BGI1-RET1-JU258-paired-1.fq.gz,BGI1-RET1-JU258-paired-2.fq.gz,BGI1-RET1-JU258,RET1,JU258,,
BGI2-RET1-JU258,BGI2-RET1-JU258-paired-1.fq.gz,BGI2-RET1-JU258-paired-2.fq.gz,BGI2-RET1-JU258,RET1,JU258,,
BGI3-RET1a-JU258,BGI3-RET1a-JU258-paired-1.fq.gz,BGI3-RET1a-JU258-paired-2.fq.gz,BGI3-RET1a-JU258,RET1a,JU258,,
MMP-7028LAB_5-JU258,MMP-7028LAB_5-JU258-paired-1.fq.gz,MMP-7028LAB_5-JU258-paired-2.fq.gz,MMP-7028LAB_5-JU258,7028LAB_5,JU258,,
MMP-B00B7AB_3-JU258,MMP-B00B7AB_3-JU258-paired-1.fq.gz,MMP-B00B7AB_3-JU258-paired-2.fq.gz,MMP-B00B7AB_3-JU258,B00B7AB_3,JU258,,
MMP-C02D1AC_1-JU258,MMP-C02D1AC_1-JU258-paired-1.fq.gz,MMP-C02D1AC_1-JU258-paired-2.fq.gz,MMP-C02D1AC_1-JU258,C02D1AC_1,JU258,,
MMP-D09NFAC_4-JU258,MMP-D09NFAC_4-JU258-paired-1.fq.gz,MMP-D09NFAC_4-JU258-paired-2.fq.gz,MMP-D09NFAC_4-JU258,D09NFAC_4,JU258,,
MMP-D0A7EAC_1-JU258,MMP-D0A7EAC_1-JU258-paired-1.fq.gz,MMP-D0A7EAC_1-JU258-paired-2.fq.gz,MMP-D0A7EAC_1-JU258,D0A7EAC_1,JU258,,
Princeton-P-JU258,Princeton-P-JU258-paired-1.fq.gz,Princeton-P-JU258-paired-2.fq.gz,Princeton-P-JU258,P,JU258,,
BGI1-RET4-JU310,BGI1-RET4-JU310-paired-1.fq.gz,BGI1-RET4-JU310-paired-2.fq.gz,BGI1-RET4-JU310,RET4,JU310,,
BGI2-RET4-JU310,BGI2-RET4-JU310-paired-1.fq.gz,BGI2-RET4-JU310-paired-2.fq.gz,BGI2-RET4-JU310,RET4,JU310,,
BGI3-RET4b-JU310,BGI3-RET4b-JU310-paired-1.fq.gz,BGI3-RET4b-JU310-paired-2.fq.gz,BGI3-RET4b-JU310,RET4b,JU310,,
MMP-7028LAB_5-JU263,MMP-7028LAB_5-JU263-paired-1.fq.gz,MMP-7028LAB_5-JU263-paired-2.fq.gz,MMP-7028LAB_5-JU263,7028LAB_5,JU310,,
MMP-B00B7AB_3-JU263,MMP-B00B7AB_3-JU263-paired-1.fq.gz,MMP-B00B7AB_3-JU263-paired-2.fq.gz,MMP-B00B7AB_3-JU263,B00B7AB_3,JU310,,
MMP-C02D1AC_1-JU263,MMP-C02D1AC_1-JU263-paired-1.fq.gz,MMP-C02D1AC_1-JU263-paired-2.fq.gz,MMP-C02D1AC_1-JU263,C02D1AC_1,JU310,,
MMP-D09NFAC_4-JU263,MMP-D09NFAC_4-JU263-paired-1.fq.gz,MMP-D09NFAC_4-JU263-paired-2.fq.gz,MMP-D09NFAC_4-JU263,D09NFAC_4,JU310,,
MMP-D0A7EAC_1-JU263,MMP-D0A7EAC_1-JU263-paired-1.fq.gz,MMP-D0A7EAC_1-JU263-paired-2.fq.gz,MMP-D0A7EAC_1-JU263,D0A7EAC_1,JU310,,
MMP-7028LAB_5-JU300,MMP-7028LAB_5-JU300-paired-1.fq.gz,MMP-7028LAB_5-JU300-paired-2.fq.gz,MMP-7028LAB_5-JU300,7028LAB_5,JU310,,
MMP-B00B7AB_3-JU300,MMP-B00B7AB_3-JU300-paired-1.fq.gz,MMP-B00B7AB_3-JU300-paired-2.fq.gz,MMP-B00B7AB_3-JU300,B00B7AB_3,JU310,,
MMP-C02D1AC_1-JU300,MMP-C02D1AC_1-JU300-paired-1.fq.gz,MMP-C02D1AC_1-JU300-paired-2.fq.gz,MMP-C02D1AC_1-JU300,C02D1AC_1,JU310,,
MMP-D09NFAC_4-JU300,MMP-D09NFAC_4-JU300-paired-1.fq.gz,MMP-D09NFAC_4-JU300-paired-2.fq.gz,MMP-D09NFAC_4-JU300,D09NFAC_4,JU310,,
MMP-D0A7EAC_1-JU300,MMP-D0A7EAC_1-JU300-paired-1.fq.gz,MMP-D0A7EAC_1-JU300-paired-2.fq.gz,MMP-D0A7EAC_1-JU300,D0A7EAC_1,JU310,,
Princeton-ECA39_d0ncdac-JU310,Princeton-ECA39_d0ncdac-JU310-paired-1.fq.gz,Princeton-ECA39_d0ncdac-JU310-paired-2.fq.gz,Princeton-ECA39_d0ncdac-JU310,ECA39_d0ncdac,JU310,,
Princeton-ECAmp_c0g61ac-JU310,Princeton-ECAmp_c0g61ac-JU310-paired-1.fq.gz,Princeton-ECAmp_c0g61ac-JU310-paired-2.fq.gz,Princeton-ECAmp_c0g61ac-JU310,ECAmp_c0g61ac,JU310,,
BGI1-RET5-JU311,BGI1-RET5-JU311-paired-1.fq.gz,BGI1-RET5-JU311-paired-2.fq.gz,BGI1-RET5-JU311,RET5,JU311,,
BGI2-RET5-JU311,BGI2-RET5-JU311-paired-1.fq.gz,BGI2-RET5-JU311-paired-2.fq.gz,BGI2-RET5-JU311,RET5,JU311,,
BGI3-RET5b-JU311,BGI3-RET5b-JU311-paired-1.fq.gz,BGI3-RET5b-JU311-paired-2.fq.gz,BGI3-RET5b-JU311,RET5b,JU311,,
BGI1-RET3-JU315,BGI1-RET3-JU315-paired-1.fq.gz,BGI1-RET3-JU315-paired-2.fq.gz,BGI1-RET3-JU315,RET3,JU311,,
BGI2-RET3-JU315,BGI2-RET3-JU315-paired-1.fq.gz,BGI2-RET3-JU315-paired-2.fq.gz,BGI2-RET3-JU315,RET3,JU311,,
BGI3-RET3b-JU315,BGI3-RET3b-JU315-paired-1.fq.gz,BGI3-RET3b-JU315-paired-2.fq.gz,BGI3-RET3b-JU315,RET3b,JU311,,
Princeton-ECA30_c02hkac-JU315,Princeton-ECA30_c02hkac-JU315-paired-1.fq.gz,Princeton-ECA30_c02hkac-JU315-paired-2.fq.gz,Princeton-ECA30_c02hkac-JU315,ECA30_c02hkac,JU311,,
Princeton-ECA30_c03b2ab-JU315,Princeton-ECA30_c03b2ab-JU315-paired-1.fq.gz,Princeton-ECA30_c03b2ab-JU315-paired-2.fq.gz,Princeton-ECA30_c03b2ab-JU315,ECA30_c03b2ab,JU311,,
Rockman083-R083.8-JU319,Rockman083-R083.8-JU319-paired-1.fq.gz,Rockman083-R083.8-JU319-paired-2.fq.gz,Rockman083-R083.8-JU319,R083.8,JU311,,
MMP-7028LAB_5-JU312,MMP-7028LAB_5-JU312-paired-1.fq.gz,MMP-7028LAB_5-JU312-paired-2.fq.gz,MMP-7028LAB_5-JU312,7028LAB_5,JU312,,
MMP-B00B7AB_3-JU312,MMP-B00B7AB_3-JU312-paired-1.fq.gz,MMP-B00B7AB_3-JU312-paired-2.fq.gz,MMP-B00B7AB_3-JU312,B00B7AB_3,JU312,,
MMP-C02D1AC_1-JU312,MMP-C02D1AC_1-JU312-paired-1.fq.gz,MMP-C02D1AC_1-JU312-paired-2.fq.gz,MMP-C02D1AC_1-JU312,C02D1AC_1,JU312,,
MMP-D09NFAC_4-JU312,MMP-D09NFAC_4-JU312-paired-1.fq.gz,MMP-D09NFAC_4-JU312-paired-2.fq.gz,MMP-D09NFAC_4-JU312,D09NFAC_4,JU312,,
MMP-D0A7EAC_1-JU312,MMP-D0A7EAC_1-JU312-paired-1.fq.gz,MMP-D0A7EAC_1-JU312-paired-2.fq.gz,MMP-D0A7EAC_1-JU312,D0A7EAC_1,JU312,,
BGI1-RET7-JU323,BGI1-RET7-JU323-paired-1.fq.gz,BGI1-RET7-JU323-paired-2.fq.gz,BGI1-RET7-JU323,RET7,JU323,,
BGI2-RET7-JU323,BGI2-RET7-JU323-paired-1.fq.gz,BGI2-RET7-JU323-paired-2.fq.gz,BGI2-RET7-JU323,RET7,JU323,,
BGI3-RET7a-JU323,BGI3-RET7a-JU323-paired-1.fq.gz,BGI3-RET7a-JU323-paired-2.fq.gz,BGI3-RET7a-JU323,RET7a,JU323,,
MMP-7028LAB_5-JU322,MMP-7028LAB_5-JU322-paired-1.fq.gz,MMP-7028LAB_5-JU322-paired-2.fq.gz,MMP-7028LAB_5-JU322,7028LAB_5,JU323,,
MMP-B00B7AB_3-JU322,MMP-B00B7AB_3-JU322-paired-1.fq.gz,MMP-B00B7AB_3-JU322-paired-2.fq.gz,MMP-B00B7AB_3-JU322,B00B7AB_3,JU323,,
MMP-C02D1AC_1-JU322,MMP-C02D1AC_1-JU322-paired-1.fq.gz,MMP-C02D1AC_1-JU322-paired-2.fq.gz,MMP-C02D1AC_1-JU322,C02D1AC_1,JU323,,
MMP-D09NFAC_4-JU322,MMP-D09NFAC_4-JU322-paired-1.fq.gz,MMP-D09NFAC_4-JU322-paired-2.fq.gz,MMP-D09NFAC_4-JU322,D09NFAC_4,JU323,,
MMP-D0A7EAC_1-JU322,MMP-D0A7EAC_1-JU322-paired-1.fq.gz,MMP-D0A7EAC_1-JU322-paired-2.fq.gz,MMP-D0A7EAC_1-JU322,D0A7EAC_1,JU323,,
BGI1-RET2-JU346,BGI1-RET2-JU346-paired-1.fq.gz,BGI1-RET2-JU346-paired-2.fq.gz,BGI1-RET2-JU346,RET2,JU346,,
BGI2-RET2-JU346,BGI2-RET2-JU346-paired-1.fq.gz,BGI2-RET2-JU346-paired-2.fq.gz,BGI2-RET2-JU346,RET2,JU346,,
BGI3-RET2b-JU346,BGI3-RET2b-JU346-paired-1.fq.gz,BGI3-RET2b-JU346-paired-2.fq.gz,BGI3-RET2b-JU346,RET2b,JU346,,
Rockman083-R083.8-JU345,Rockman083-R083.8-JU345-paired-1.fq.gz,Rockman083-R083.8-JU345-paired-2.fq.gz,Rockman083-R083.8-JU345,R083.8,JU346,,
BGI1-RET1-JU360,BGI1-RET1-JU360-paired-1.fq.gz,BGI1-RET1-JU360-paired-2.fq.gz,BGI1-RET1-JU360,RET1,JU360,,
BGI2-RET1-JU360,BGI2-RET1-JU360-paired-1.fq.gz,BGI2-RET1-JU360-paired-2.fq.gz,BGI2-RET1-JU360,RET1,JU360,,
BGI3-RET1b-JU360,BGI3-RET1b-JU360-paired-1.fq.gz,BGI3-RET1b-JU360-paired-2.fq.gz,BGI3-RET1b-JU360,RET1b,JU360,,
MMP-7028LAB_5-JU360,MMP-7028LAB_5-JU360-paired-1.fq.gz,MMP-7028LAB_5-JU360-paired-2.fq.gz,MMP-7028LAB_5-JU360,7028LAB_5,JU360,,
MMP-B00B7AB_3-JU360,MMP-B00B7AB_3-JU360-paired-1.fq.gz,MMP-B00B7AB_3-JU360-paired-2.fq.gz,MMP-B00B7AB_3-JU360,B00B7AB_3,JU360,,
MMP-C02D1AC_1-JU360,MMP-C02D1AC_1-JU360-paired-1.fq.gz,MMP-C02D1AC_1-JU360-paired-2.fq.gz,MMP-C02D1AC_1-JU360,C02D1AC_1,JU360,,
MMP-D09NFAC_4-JU360,MMP-D09NFAC_4-JU360-paired-1.fq.gz,MMP-D09NFAC_4-JU360-paired-2.fq.gz,MMP-D09NFAC_4-JU360,D09NFAC_4,JU360,,
MMP-D0A7EAC_1-JU360,MMP-D0A7EAC_1-JU360-paired-1.fq.gz,MMP-D0A7EAC_1-JU360-paired-2.fq.gz,MMP-D0A7EAC_1-JU360,D0A7EAC_1,JU360,,
BGI1-RET2-JU363,BGI1-RET2-JU363-paired-1.fq.gz,BGI1-RET2-JU363-paired-2.fq.gz,BGI1-RET2-JU363,RET2,JU360,,
BGI2-RET2-JU363,BGI2-RET2-JU363-paired-1.fq.gz,BGI2-RET2-JU363-paired-2.fq.gz,BGI2-RET2-JU363,RET2,JU360,,
BGI3-RET2b-JU363,BGI3-RET2b-JU363-paired-1.fq.gz,BGI3-RET2b-JU363-paired-2.fq.gz,BGI3-RET2b-JU363,RET2b,JU360,,
Uchicago-L002-JU363,Uchicago-L002-JU363-paired-1.fq.gz,Uchicago-L002-JU363-paired-2.fq.gz,Uchicago-L002-JU363,L002,JU360,,
BGI1-RET7-JU367,BGI1-RET7-JU367-paired-1.fq.gz,BGI1-RET7-JU367-paired-2.fq.gz,BGI1-RET7-JU367,RET7,JU367,,
BGI2-RET7-JU367,BGI2-RET7-JU367-paired-1.fq.gz,BGI2-RET7-JU367-paired-2.fq.gz,BGI2-RET7-JU367,RET7,JU367,,
BGI3-RET7b-JU367,BGI3-RET7b-JU367-paired-1.fq.gz,BGI3-RET7b-JU367-paired-2.fq.gz,BGI3-RET7b-JU367,RET7b,JU367,,
MMP-7028LAB_5-JU361,MMP-7028LAB_5-JU361-paired-1.fq.gz,MMP-7028LAB_5-JU361-paired-2.fq.gz,MMP-7028LAB_5-JU361,7028LAB_5,JU367,,
MMP-B00B7AB_3-JU361,MMP-B00B7AB_3-JU361-paired-1.fq.gz,MMP-B00B7AB_3-JU361-paired-2.fq.gz,MMP-B00B7AB_3-JU361,B00B7AB_3,JU367,,
MMP-C02D1AC_1-JU361,MMP-C02D1AC_1-JU361-paired-1.fq.gz,MMP-C02D1AC_1-JU361-paired-2.fq.gz,MMP-C02D1AC_1-JU361,C02D1AC_1,JU367,,
MMP-D09NFAC_4-JU361,MMP-D09NFAC_4-JU361-paired-1.fq.gz,MMP-D09NFAC_4-JU361-paired-2.fq.gz,MMP-D09NFAC_4-JU361,D09NFAC_4,JU367,,
MMP-D0A7EAC_1-JU361,MMP-D0A7EAC_1-JU361-paired-1.fq.gz,MMP-D0A7EAC_1-JU361-paired-2.fq.gz,MMP-D0A7EAC_1-JU361,D0A7EAC_1,JU367,,
BGI1-RET6-JU393,BGI1-RET6-JU393-paired-1.fq.gz,BGI1-RET6-JU393-paired-2.fq.gz,BGI1-RET6-JU393,RET6,JU393,,
BGI2-RET6-JU393,BGI2-RET6-JU393-paired-1.fq.gz,BGI2-RET6-JU393-paired-2.fq.gz,BGI2-RET6-JU393,RET6,JU393,,
BGI3-RET6b-JU393,BGI3-RET6b-JU393-paired-1.fq.gz,BGI3-RET6b-JU393-paired-2.fq.gz,BGI3-RET6b-JU393,RET6b,JU393,,
BGI1-RET4-JU394,BGI1-RET4-JU394-paired-1.fq.gz,BGI1-RET4-JU394-paired-2.fq.gz,BGI1-RET4-JU394,RET4,JU394,,
BGI2-RET4-JU394,BGI2-RET4-JU394-paired-1.fq.gz,BGI2-RET4-JU394-paired-2.fq.gz,BGI2-RET4-JU394,RET4,JU394,,
BGI3-RET4b-JU394,BGI3-RET4b-JU394-paired-1.fq.gz,BGI3-RET4b-JU394-paired-2.fq.gz,BGI3-RET4b-JU394,RET4b,JU394,,
MMP-7028LAB_5-JU394,MMP-7028LAB_5-JU394-paired-1.fq.gz,MMP-7028LAB_5-JU394-paired-2.fq.gz,MMP-7028LAB_5-JU394,7028LAB_5,JU394,,
MMP-B00B7AB_3-JU394,MMP-B00B7AB_3-JU394-paired-1.fq.gz,MMP-B00B7AB_3-JU394-paired-2.fq.gz,MMP-B00B7AB_3-JU394,B00B7AB_3,JU394,,
