isolated_by,landscape,latitude,longitude,place,species,strain,substrate
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1035,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1036,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1037,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1038,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1039,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1040,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1041,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1042,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1043,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1044,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1045,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1046,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1047,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1048,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1049,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,34.9538,137.172,"Okazaki, Japan",Caenorhabditis remanei,JU1082,mix
Marie-Anne Felix,Rural garden,34.7622,138.014,"Kakegawa, Japan",Caenorhabditis remanei,JU1084,mix
Marie-Anne Felix,Forest,34.7615,138.017,"Kakegawa, Japan",Caenorhabditis briggsae,JU1085,mix
Marie-Anne Felix,Forest,34.7615,138.017,"Kakegawa, Japan",Caenorhabditis remanei,JU1086,mix
Marie-Anne Felix,Botanical garden zoo,35.69,139.69,"Tokyo, Japan",Caenorhabditis remanei,JU1087,mix
Marie-Anne Felix,Botanical garden zoo,34.7613,138.015,"Kakegawa, Japan",Caenorhabditis elegans,JU1088,soil
Marie-Anne Felix,Urban garden,-36.82,-72.99,"Concepcion, Chile",Caenorhabditis elegans,JU1171,compost heap
Marie-Anne Felix,Urban garden,-36.87,-73.04,"Concepcion, Chile",Caenorhabditis elegans,JU1172,compost heap
Marie-Anne Felix,Rural garden,6.38,-0.38,"Begoro, Ghana",Caenorhabditis sp. 7,JU1198,"rotting fruit, citrus"
Marie-Anne Felix,Rural garden,6.38,-0.38,"Begoro, Ghana",Caenorhabditis afra,JU1199,"rotting fruit, citrus"
Antony Page,Rural garden,55.577,-4.6,"Dundonald, Great Britain",Caenorhabditis elegans,JU1200,compost heap
Josselin Milloz,Urban garden,31.307,120.624,"Suzhou, China",Caenorhabditis sinica,JU1201,rotting fruit
Josselin Milloz,Urban garden,30.254,120.16,"Hangzhou, China",Caenorhabditis sinica,JU1202,rotting fruit
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1204,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1205,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU1206,"rotting fruit, plum"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU1207,"rotting stem, Arum maculata"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU1208,"rotting stem, Arum maculata"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU1209,"rotting stem, Arum maculata"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU1210,"rotting stem, Arum maculata"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU1211,"rotting stem, Arum maculata"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU1212,"rotting stem, Arum maculata"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU1213,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.71,-3.81,"Primel Tregastel, France",Caenorhabditis elegans,JU1214,"live mollusk, Helix aspersa"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1218,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1219,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1220,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1221,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1222,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1223,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1224,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1225,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1226,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1227,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1228,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1229,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1230,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1231,
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1232,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1233,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1234,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1235,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1236,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1237,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1238,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1239,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1240,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1241,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1242,"live mollusk, slug"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1243,"live mollusk, slug"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1244,"live mollusk, slug"
Marie-Anne Felix,Rural garden,49.1269,1.9595,"Santeuil, France",Caenorhabditis elegans,JU1245,"live mollusk, slug"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1246,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1247,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1248,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1249,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1250,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1251,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1252,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1253,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis briggsae,JU1254,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1255,"rotting fruit, apple"
Marie-Anne Felix,Agricultural land,49.1262,1.96152,"Santeuil, France",Caenorhabditis elegans,JU1256,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,49.1255,1.951,"Santeuil, France",Caenorhabditis briggsae,JU1257,"rotting fruit, Crataegus"
Marie-Anne Felix,Rural garden,49.1255,1.951,"Santeuil, France",Caenorhabditis briggsae,JU1258,"rotting fruit, Crataegus"
Marie-Anne Felix,Rural garden,49.1255,1.951,"Santeuil, France",Caenorhabditis briggsae,JU1259,"rotting fruit, Crataegus"
Marie-Anne Felix,Rural garden,49.1261,1.9533,"Santeuil, France",Caenorhabditis briggsae,JU1260,"live mollusk, snail"
Marie-Anne Felix,Rural garden,49.1261,1.95034,"Santeuil, France",Caenorhabditis briggsae,JU1261,"rotting fruit, grape"
Marie-Anne Felix,Rural garden,49.1261,1.95034,"Santeuil, France",Caenorhabditis briggsae,JU1262,"rotting fruit, grape"
Marie-Anne Felix,Rural garden,49.1261,1.95034,"Santeuil, France",Caenorhabditis briggsae,JU1263,"rotting fruit, grape"
Marie-Anne Felix,Rural garden,49.1261,1.95034,"Santeuil, France",Caenorhabditis briggsae,JU1264,"live mollusk, snail"
NA,,,,,Caenorhabditis afra,JU1286,
Marie-Anne Felix,Rural garden,8.3087,77.0807,"Poovar, India",Caenorhabditis brenneri,JU1323,"rotting fruit, coconut"
Marie-Anne Felix,Rural garden,8.3087,77.0807,"Poovar, India",Caenorhabditis brenneri,JU1324,"rotting fruit, pineapple"
Marie-Anne Felix,Botanical garden zoo,8.512,76.955,"Trivandrum, India",Caenorhabditis nigoni,JU1325,mix
Marie-Anne Felix,Agricultural land,9.6,76.36,"near Allepey, India",Caenorhabditis brenneri,JU1326,"rotting stem, banana"
Marie-Anne Felix,Agricultural land,9.55,76.8,"Kanjirapally, India",Caenorhabditis brenneri,JU1327,"rotting fruit, pineapple"
Marie-Anne Felix,Agricultural land,9.55,76.8,"Kanjirapally, India",Caenorhabditis sp. 10,JU1328,rotting stem
Marie-Anne Felix,Agricultural land,9.55,76.8,"Kanjirapally, India",Caenorhabditis brenneri,JU1329,"mix, banana"
Marie-Anne Felix,Agricultural land,9.55,76.8,"Kanjirapally, India",Caenorhabditis sp. 10,JU1330,"rotting fruit, nutmeg"
Marie-Anne Felix,Agricultural land,9.55,76.8,"Kanjirapally, India",Caenorhabditis sp. 10,JU1331,"rotting fruit, bilimbi"
Marie-Anne Felix,Agricultural land,9.6,77.13,"Periyar, India",Caenorhabditis sp. 10,JU1332,mix
Marie-Anne Felix,Agricultural land,9.6,77.13,"Periyar, India",Caenorhabditis doughertyi,JU1333,"rotting fruit, cacao"
Marie-Anne Felix,Agricultural land,9.6,77.13,"Periyar, India",Caenorhabditis sp. 10,JU1334,rotting fruit
Marie-Anne Felix,Agricultural land,8.32,77.075,"Poovar, India",Caenorhabditis briggsae,JU1337,"rotting fruit, coconut"
Marie-Anne Felix,Botanical garden zoo,8.509,76.956,"Trivandrum, India",Caenorhabditis briggsae,JU1338,"rotting fruit, palm"
Marie-Anne Felix,Forest,8.7119,77.1287,"Meenmutti, India",Caenorhabditis briggsae,JU1339,"rotting fruit, Ficus"
Marie-Anne Felix,Forest,8.76405,77.1134,"Ponmudi, India",Caenorhabditis briggsae,JU1340,mix
Marie-Anne Felix,Forest,8.7633,77.114,"Ponmudi, India",Caenorhabditis briggsae,JU1341,rotting fruit
Marie-Anne Felix,Forest,8.7632,77.115,"Ponmudi, India",Caenorhabditis briggsae,JU1342,rotting fruit
Marie-Anne Felix,Forest,8.7625,77.116,"Ponmudi, India",Caenorhabditis briggsae,JU1343,mix
Marie-Anne Felix,Forest,8.7629,77.1155,"Ponmudi, India",Caenorhabditis briggsae,JU1344,rotting fruit
Marie-Anne Felix,Forest,8.7632,77.1145,"Ponmudi, India",Caenorhabditis briggsae,JU1345,
Marie-Anne Felix,Agricultural land,9.55,76.8,"Kanjirapally, India",Caenorhabditis briggsae,JU1346,"mix, banana"
Marie-Anne Felix,Agricultural land,9.6,77.13,"Periyar, India",Caenorhabditis briggsae,JU1347,mix
Marie-Anne Felix,Forest,9.55,77.2,"Periyar, India",Caenorhabditis briggsae,JU1348,mix
Marie-Anne Felix,Agricultural land,-21.0473,55.6885,"Saint-Benoit, La Reunion",Caenorhabditis tropicalis,JU1373,"rotting flower, Etlingeria elatior"
Marie-Anne Felix,Agricultural land,-21.0484,55.6878,"Saint-Benoit, La Reunion",Caenorhabditis tropicalis,JU1374,"live arthropod, millipede"
Marie-Anne Felix,Agricultural land,-21.0469,55.6885,"Saint-Benoit, La Reunion",Caenorhabditis briggsae,JU1375,"live mollusk, snail"
Marie-Anne Felix,Agricultural land,-21.0484,55.6878,"Saint-Benoit, La Reunion",Caenorhabditis briggsae,JU1376,fungus
Marie-Anne Felix,Agricultural land,-21.0476,55.6905,"Saint-Benoit, La Reunion",Caenorhabditis briggsae,JU1377,"rotting flower, Etlingeria elatior"
Marie-Anne Felix,Agricultural land,-21.0478,55.6878,"Saint-Benoit, La Reunion",Caenorhabditis briggsae,JU1378,"rotting fruit, velvet apple"
Marie-Anne Felix,Agricultural land,-21.0476,55.6905,"Saint-Benot, La Reunion",Caenorhabditis brenneri,JU1379,"rotting flower, Alpinia purpurata"
NA,Urban garden,-22.916,-43.173,"Rio de Janeiro, Brazil",Caenorhabditis briggsae,JU1392,"rotting fruit, Couroupita guianensis"
Marie-Anne Felix,,47.2199,0.04619,"Saut-aux-Loups, France",Caenorhabditis elegans,JU1395,compost heap
Marie-Anne Felix,Rural garden,5.9,-75.9,"Medellin, Colombia",Caenorhabditis brenneri,JU1396,"rotting fruit, noni"
Marie-Anne Felix,Rural garden,5.9,-75.9,"Medellin, Colombia",Caenorhabditis brenneri,JU1397,"rotting fruit, orange"
Marie-Anne Felix,Rural garden,5.9,-75.9,"Medellin, Colombia",Caenorhabditis brenneri,JU1398,"rotting fruit, orange"
Marie-Anne Felix,Rural garden,5.9,-75.9,"Medellin, Colombia",Caenorhabditis briggsae,JU1399,"rotting fruit, orange"
Marie-Anne Felix,Rural garden,37.3845,-5.988,"Sevilla, Spain",Caenorhabditis elegans,JU1400,"rotting fruit, orange"
Marie-Anne Felix,Rural garden,37.4721,-5.6331,"Carmona, Spain",Caenorhabditis elegans,JU1401,"live mollusk, Rumina decollata"
Marie-Anne Felix,Rural garden,37.4721,-5.6331,"Carmona, Spain",Caenorhabditis elegans,JU1402,"live mollusk, Rumina decollata"
Marie-Anne Felix,Rural garden,37.4721,-5.6331,"Carmona, Spain",Caenorhabditis elegans,JU1403,"live mollusk, Rumina decollata"
Marie-Anne Felix,Rural garden,37.4721,-5.6331,"Carmona, Spain",Caenorhabditis elegans,JU1404,"live mollusk, Rumina decollata"
Marie-Anne Felix,Rural garden,37.4721,-5.6331,"Carmona, Spain",Caenorhabditis elegans,JU1405,"live mollusk, Rumina decollata"
Marie-Anne Felix,Rural garden,37.4721,-5.6331,"Carmona, Spain",Caenorhabditis elegans,JU1406,"live mollusk, Rumina decollata"
Marie-Anne Felix,Rural garden,37.4721,-5.6331,"Carmona, Spain",Caenorhabditis elegans,JU1407,"live mollusk, Rumina decollata"
Marie-Anne Felix,Rural garden,37.4721,-5.6331,"Carmona, Spain",Caenorhabditis elegans,JU1408,"live mollusk, Rumina decollata"
Marie-Anne Felix,Rural garden,37.468,-5.637,"Carmona, Spain",Caenorhabditis elegans,JU1409,"rotting fruit, Opuntia ficus-indica"
Marie-Anne Felix,Rural garden,37.468,-5.637,"Carmona, Spain",Caenorhabditis elegans,JU1410,"dead mollusk, snail"
Marie-Anne Felix,Rural garden,37.468,-5.637,"Carmona, Spain",Caenorhabditis elegans,JU1411,"live mollusk, snail"
Marie-Anne Felix,Rural garden,37.468,-5.637,"Carmona, Spain",Caenorhabditis elegans,JU1412,"live mollusk, snail"
Marie-Anne Felix,Rural garden,37.468,-5.637,"Carmona, Spain",Caenorhabditis elegans,JU1413,"live mollusk, snail"
Marie-Anne Felix,Rural garden,37.468,-5.637,"Carmona, Spain",Caenorhabditis elegans,JU1414,"live mollusk, snail"
Marie-Anne Felix,Rural garden,37.468,-5.637,"Carmona, Spain",Caenorhabditis elegans,JU1415,"live mollusk, snail"
Marie-Anne Felix,Rural garden,37.468,-5.637,"Carmona, Spain",Caenorhabditis elegans,JU1416,"live arthropod, isopod"
NA,,8.3,76.57,"Trivandrum, Kerala, India",Caenorhabditis nigoni,JU1422,rotting flowers/leaves
Marie-Anne Felix,Forest,22.4,105.6,"Ba Be, Vietnam",Caenorhabditis sp. 5,JU1423,rotting fruit
Marie-Anne Felix,Forest,22.4,105.6,"Ba Be, Vietnam",Caenorhabditis briggsae,JU1424,rotting fruit
Marie-Anne Felix,Forest,4.08,-52.68,"Nouragues, French Guiana",Caenorhabditis castelli,JU1426,"rotting fruit, Micropholis cayennensis"
Marie-Anne Felix,Forest,4.08,-52.68,"Nouragues, French Guiana",Caenorhabditis castelli,JU1427,"rotting fruit, Micropholis cayennensis"
Marie-Anne Felix,Forest,4.08,-52.68,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1428,"rotting fruit, Duguetia surinamensis"
Marie-Anne Felix,Forest,4.08,-52.68,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1429,"rotting fruit, Duguetia surinamensis"
Marie-Anne Felix,Forest,4.08,-52.68,"Nouragues, French Guiana",Caenorhabditis tropicalis,JU1430,"rotting fruit, Duguetia surinamensis"
Marie-Anne Felix,Rural garden,-21.05,55.27,"Saint-Gilles, La Reunion",Caenorhabditis briggsae,JU1435,rotting fruit
Marie-Anne Felix,Urban garden,41.4131,2.15231,"Barcelona, Spain",Caenorhabditis elegans,JU1440,"rotting fruit, palm"
Marie-Anne Felix,Urban garden,41.4131,2.15231,"Barcelona, Spain",Caenorhabditis elegans,JU1441,"rotting fruit, palm"
Marie-Anne Felix,Urban garden,41.4131,2.15231,"Barcelona, Spain",Caenorhabditis elegans,JU1442,"rotting fruit, palm"
Marie-Anne Felix,Rural garden,48.7069,2.1296,"Gif-sur-Yvette, France",Caenorhabditis briggsae,JU1467,"rotting fruit, Prunus avium"
Marie-Anne Felix,Rural garden,48.7069,2.1296,"Gif-sur-Yvette, France",Caenorhabditis briggsae,JU1468,"rotting fruit, Prunus avium"
Marie-Anne Felix,Rural garden,48.7069,2.1296,"Gif-sur-Yvette, France",Caenorhabditis briggsae,JU1469,"rotting fruit, Prunus avium"
Marie-Anne Felix,Rural garden,48.7069,2.1296,"Gif-sur-Yvette, France",Caenorhabditis briggsae,JU1470,"rotting fruit, Prunus avium"
Marie-Anne Felix,Rural garden,48.7069,2.1296,"Gif-sur-Yvette, France",Caenorhabditis briggsae,JU1471,"rotting fruit, Prunus avium"
Marie-Anne Felix,Rural garden,48.7069,2.1296,"Gif-sur-Yvette, France",Caenorhabditis briggsae,JU1472,"rotting fruit, Prunus avium"
Marie-Anne Felix,Rural garden,48.7069,2.1296,"Gif-sur-Yvette, France",Caenorhabditis briggsae,JU1473,"rotting fruit, Prunus avium"
Marie-Anne Felix,Rural garden,48.7069,2.1296,"Gif-sur-Yvette, France",Caenorhabditis briggsae,JU1474,"rotting fruit, Prunus avium"
Marie-Anne Felix,Rural garden,48.7069,2.1296,"Gif-sur-Yvette, France",Caenorhabditis briggsae,JU1475,"dead arthropod, firefly"
Marie-Anne Felix,Wet shrubland,48.705,-3.7952,"Sainte-Barbe, France",Caenorhabditis elegans,JU1482,"rotting leaves, Tamus communis"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1484,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1485,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1486,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1487,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1488,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1489,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1490,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1491,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1492,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1493,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1494,"rotting stem, Arum maculata"
Marie-Anne Felix,Forest,46.6386,1.0504,"Le Blanc, France",Caenorhabditis elegans,JU1495,"rotting stem, Arum maculata"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1496,"rotting fruit, peach"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1497,"rotting fruit, peach"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1498,"rotting fruit, peach"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1499,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1500,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis briggsae,JU1509,"rotting fruit, pear"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1511,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1512,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis briggsae,JU1513,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1514,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1515,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1516,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1517,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1518,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1519,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1520,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1521,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1522,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1523,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1524,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1525,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1526,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1527,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis virilis,JU1528,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis briggsae,JU1529,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1530,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1531,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1532,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis briggsae,JU1533,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1534,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1535,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1536,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1537,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1538,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1539,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1540,"rotting fruit, apple"
Marie-Anne Felix,Rural garden,48.7015,2.1725,"Orsay, France",Caenorhabditis elegans,JU1541,"rotting fruit, apple"
